Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Voip
142.251.10.190,443,192.168.68.78,60110,17,Discord,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Discord,Streaming
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Discord,Chat
192.168.68.78,61379,142.251.175.100,443,6,Spotify,Gaming
142.251.175.100,443,192.168.68.78,61379,6,Discord,Chat
142.251.175.100,443,192.168.68.78,61379,6,Spotify,Chat
142.251.175.100,443,192.168.68.78,61379,6,Spotify,File Transfer
142.251.175.100,443,192.168.68.78,61379,6,Discord,File Transfer
142.251.175.100,443,192.168.68.78,61379,6,Discord,File Transfer
142.251.175.100,443,192.168.68.78,61379,6,Discord,Gaming
192.168.68.78,61379,142.251.175.100,443,6,Spotify,Chat
192.168.68.78,61379,142.251.175.100,443,6,Email,Chat
192.168.68.78,61379,142.251.175.100,443,6,Spotify,Chat
142.251.175.100,443,192.168.68.78,61379,6,Discord,Chat
142.251.175.100,443,192.168.68.78,61379,6,Discord,Streaming
192.168.68.78,61379,142.251.175.100,443,6,Spotify,Chat
142.251.175.100,443,192.168.68.78,61379,6,Discord,Chat
142.251.175.100,443,192.168.68.78,61379,6,Discord,Chat
142.251.175.100,443,192.168.68.78,61379,6,Discord,Streaming
142.251.175.100,443,192.168.68.78,61379,6,Discord,Streaming
142.251.175.100,443,192.168.68.78,61379,6,Discord,Streaming
192.168.68.78,61379,142.251.175.100,443,6,Spotify,Chat
192.168.68.78,53324,142.251.175.100,443,17,Youtube,Chat
142.251.175.100,443,192.168.68.78,53324,17,Youtube,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Chat
142.251.175.100,443,192.168.68.78,53324,17,Youtube,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Youtube,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Chat
142.251.175.100,443,192.168.68.78,61379,6,Discord,Chat
192.168.68.78,61380,142.251.175.100,443,6,Spotify,Gaming
103.41.69.241,443,192.168.68.78,63599,6,Valorant,Chat
142.251.175.100,443,192.168.68.78,53324,17,Youtube,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Youtube,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Youtube,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Discord,Chat
142.251.175.100,443,192.168.68.78,61380,6,Spotify,Chat
142.251.175.100,443,192.168.68.78,61380,6,Discord,Streaming
142.251.175.100,443,192.168.68.78,61380,6,Spotify,Streaming
142.251.175.100,443,192.168.68.78,61380,6,Spotify,Streaming
142.251.175.100,443,192.168.68.78,61380,6,Discord,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Voip
142.251.175.100,443,192.168.68.78,61380,6,CSGO,Chat
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
192.168.68.78,61380,142.251.175.100,443,6,Spotify,Chat
192.168.68.78,61380,142.251.175.100,443,6,Valorant,Chat
192.168.68.78,53324,142.251.175.100,443,17,Vimeo,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Netflix,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Netflix,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,61380,6,Valorant,Chat
192.168.68.78,61380,142.251.175.100,443,6,Spotify,Chat
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,61380,6,Discord,Streaming
142.251.175.100,443,192.168.68.78,61380,6,Spotify,Chat
142.251.175.100,443,192.168.68.78,61380,6,Spotify,Chat
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
192.168.68.1,38118,239.255.255.250,1900,17,Valorant,Chat
192.168.68.1,38118,239.255.255.250,1900,17,Valorant,Chat
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Gaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
