,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
155,104.16.55.40,443,192.168.68.71,50239,6,Chat,
156,192.168.68.71,50050,104.18.0.191,443,6,File Transfer,
157,136.202.91.240,0,0.60.0.1,0,0,File Transfer,
158,192.168.68.71,137,192.168.71.255,137,17,Chat,
159,192.168.68.71,5353,224.0.0.251,5353,17,Chat,
160,192.168.68.71,50424,162.247.243.23,443,6,Gaming,
161,162.247.243.23,443,192.168.68.71,50424,6,File Transfer,
162,192.168.68.71,50121,104.16.55.40,443,6,Gaming,
163,162.247.241.2,443,192.168.68.71,50122,6,Gaming,
164,192.168.68.71,50443,188.42.147.101,443,6,Gaming,
165,192.168.68.52,0,239.255.255.250,0,0,Streaming,
166,192.168.68.71,49759,162.159.135.234,443,6,File Transfer,
167,192.168.68.71,50444,188.42.147.101,443,6,Gaming,
168,192.168.68.71,50183,104.16.120.50,443,6,File Transfer,
169,192.168.68.71,50175,104.18.157.37,443,6,Gaming,
170,192.168.68.71,50192,104.18.25.250,443,6,Gaming,
171,192.168.68.71,50357,104.18.19.119,443,6,Gaming,
172,192.168.68.71,50446,188.42.147.101,443,6,Gaming,
173,192.168.68.71,50201,104.18.24.250,443,6,Gaming,
174,192.168.68.71,49965,104.18.24.250,443,6,Streaming,
175,192.168.68.71,50246,104.16.55.40,443,6,Gaming,
176,0.8.0.0,0,245.129.128.0,0,0,File Transfer,
177,192.168.68.72,0,224.0.0.22,0,0,Chat,
178,192.168.68.71,49753,20.197.71.89,443,6,Streaming,
179,0.0.0.0,68,255.255.255.255,67,17,Streaming,
180,192.168.68.71,49834,104.16.55.40,443,6,File Transfer,
181,162.247.241.2,443,192.168.68.71,49835,6,Gaming,
182,192.168.68.71,49837,104.16.55.40,443,6,File Transfer,
183,162.247.241.2,443,192.168.68.71,49836,6,Gaming,
184,192.168.68.71,49836,162.247.241.2,443,6,Chat,
185,192.168.68.71,49847,104.16.55.40,443,6,File Transfer,
186,162.247.241.2,443,192.168.68.71,49848,6,Gaming,
187,192.168.68.71,49850,104.16.55.40,443,6,File Transfer,
188,162.247.241.2,443,192.168.68.71,49851,6,Gaming,
189,192.168.68.71,50447,188.42.147.101,443,6,Gaming,
190,192.168.68.71,50208,104.18.18.119,443,6,Streaming,
191,192.168.68.71,50050,104.18.0.191,443,6,File Transfer,
192,192.168.68.71,50121,104.16.55.40,443,6,File Transfer,
193,162.247.241.2,443,192.168.68.71,50122,6,Gaming,
194,192.168.68.71,50448,188.42.147.101,443,6,Gaming,
195,192.168.68.71,50403,162.247.243.33,443,6,Streaming,
196,192.168.68.71,50420,104.74.52.52,443,6,Streaming,
197,104.74.52.52,443,192.168.68.71,50420,6,Gaming,
198,192.168.68.71,50449,188.42.147.101,443,6,Streaming,
199,192.168.68.71,50175,104.18.157.37,443,6,File Transfer,
200,192.168.68.71,50183,104.16.120.50,443,6,File Transfer,
201,192.168.68.71,50192,104.18.25.250,443,6,File Transfer,
202,192.168.68.1,0,224.0.0.1,0,0,Chat,
203,136.202.65.120,0,0.194.32.16,0,0,File Transfer,
204,192.168.68.71,50453,188.42.147.101,443,6,Gaming,
205,188.42.147.101,443,192.168.68.71,50453,6,Chat,
206,192.168.68.71,50246,104.16.55.40,443,6,Gaming,
207,162.247.241.2,443,192.168.68.71,50245,6,Gaming,
208,136.202.65.120,0,0.109.32.16,0,0,Gaming,
209,192.168.68.71,50454,188.42.147.101,443,6,Gaming,
210,192.168.68.53,0,239.255.255.250,0,0,File Transfer,
211,192.168.68.71,50455,188.42.147.101,443,6,Gaming,
212,192.168.68.71,50456,188.42.147.101,443,6,Streaming,
213,192.168.68.57,0,239.255.255.250,0,0,Email,
214,192.168.68.71,44376,188.42.147.253,54012,17,Gaming,
215,192.168.68.72,49184,239.255.255.250,3702,17,File Transfer,
216,8.6.0.1,0,8.0.6.4,0,0,Gaming,
217,192.168.68.1,32911,239.255.255.250,1900,17,Gaming,
218,192.168.68.71,50206,104.18.18.119,443,6,Chat,
219,192.168.68.62,5353,224.0.0.251,5353,17,File Transfer,
220,192.168.68.71,50457,188.42.147.101,443,6,Gaming,
221,192.168.68.72,5353,224.0.0.251,5353,17,Gaming,
222,192.168.68.65,5353,224.0.0.251,5353,17,Gaming,
223,192.168.68.71,49849,35.186.224.47,443,6,VoIP,
224,192.168.68.71,49919,23.209.46.84,443,6,Gaming,
225,192.168.68.71,49920,23.209.46.68,443,6,Gaming,
226,192.168.68.71,49921,23.202.34.131,443,6,File Transfer,
227,192.168.68.71,50458,188.42.147.101,443,6,Gaming,
228,188.42.147.101,443,192.168.68.71,50458,6,Chat,
229,192.168.68.71,50375,162.159.138.234,443,6,Chat,
230,192.168.68.57,0,224.0.0.2,0,0,Streaming,
231,192.168.68.1,0,239.255.255.250,0,0,Streaming,
232,192.168.68.71,0,224.0.0.22,0,0,Streaming,
233,192.168.68.78,0,224.0.0.22,0,0,Email,
234,192.168.68.71,50435,8.241.138.124,80,6,Gaming,
235,192.168.68.71,50438,23.209.46.84,443,6,Gaming,
236,136.202.91.240,0,0.60.0.1,0,0,File Transfer,
237,192.168.68.71,50442,104.16.56.40,443,6,Chat,
238,172.65.217.212,5223,192.168.68.71,50097,6,Gaming,
239,192.168.68.71,50462,188.42.147.101,443,6,Gaming,
240,192.168.68.71,50228,104.18.11.21,8443,6,Gaming,
241,192.168.68.71,49759,162.159.135.234,443,6,Gaming,
242,192.168.68.71,50316,188.42.147.158,443,6,Gaming,
243,192.168.68.71,49919,23.209.46.84,443,6,File Transfer,
244,192.168.68.71,49921,23.202.34.131,443,6,Email,
245,192.168.68.71,49920,23.209.46.68,443,6,File Transfer,
246,192.168.68.71,50463,188.42.147.101,443,6,Gaming,
247,192.168.68.71,50439,184.26.20.128,443,6,Streaming,
248,192.168.68.71,50357,104.18.19.119,443,6,Chat,
249,192.168.68.71,50464,188.42.147.101,443,6,Gaming,
250,192.168.68.71,49835,162.247.241.2,443,6,Gaming,
251,192.168.68.71,49836,162.247.241.2,443,6,Gaming,
252,192.168.68.71,49848,162.247.241.2,443,6,Gaming,
253,192.168.68.71,49851,162.247.241.2,443,6,Gaming,
254,192.168.68.71,50201,104.18.24.250,443,6,Streaming,
255,192.168.68.71,49965,104.18.24.250,443,6,Streaming,
256,192.168.68.71,50467,188.42.147.101,443,6,Gaming,
257,0.8.0.0,0,245.129.128.0,0,0,Streaming,
258,192.168.68.72,0,224.0.0.22,0,0,VoIP,
259,0.0.0.0,68,255.255.255.255,67,17,VoIP,
260,192.168.68.71,49753,20.197.71.89,443,6,Streaming,
261,192.168.68.71,50122,162.247.241.2,443,6,Gaming,
262,192.168.68.71,50208,104.18.18.119,443,6,Streaming,
263,192.168.68.71,50468,188.42.147.101,443,6,Gaming,
264,192.168.68.71,50469,188.42.147.101,443,6,Gaming,
265,192.168.68.71,50245,162.247.241.2,443,6,Gaming,
266,192.168.68.1,0,224.0.0.1,0,0,Chat,
267,192.168.68.71,50470,188.42.147.101,443,6,Gaming,
268,192.168.68.52,0,239.255.255.250,0,0,File Transfer,
269,192.168.68.71,50452,162.247.241.2,443,6,Gaming,
270,192.168.68.65,0,224.0.0.22,0,0,Chat,
271,192.168.68.71,50471,188.42.147.101,443,6,Gaming,
272,192.168.68.53,0,239.255.255.250,0,0,File Transfer,
273,192.168.68.71,50472,188.42.147.101,443,6,Gaming,
275,192.168.68.71,50474,104.46.162.224,443,6,VoIP,
276,192.168.68.71,50475,188.42.147.101,443,6,Gaming,
277,192.168.68.57,0,239.255.255.250,0,0,Email,
278,192.168.68.71,44376,188.42.147.253,54012,17,Gaming,
279,8.6.0.1,0,8.0.6.4,0,0,Gaming,
280,192.168.68.71,50476,8.241.138.126,80,6,File Transfer,
281,8.241.138.126,80,192.168.68.71,50476,6,Streaming,
282,8.241.138.126,80,192.168.68.71,50476,6,File Transfer,
283,192.168.68.71,50478,8.241.138.126,80,6,Streaming,
