Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,61383,6,Email,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
192.168.68.78,61382,43.245.106.137,443,6,ICQ,Chat
192.168.68.78,61359,74.125.200.94,80,6,ICQ,Voip
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
